match_date,event,round,player_a,player_b,a_points,b_points,point_diff,winner
2024-04-09,Badminton Asia Championships 2024,Round of 32,Loh Kean Yew,Kenta Nishimoto,69912.0,64982.0,4930.0,0
2024-04-09,Badminton Asia Championships 2024,Round of 32,Kunlavut Vitidsarn,Prince Dahal,77948.0,10480.0,67468.0,1
2024-04-09,Badminton Asia Championships 2024,Round of 32,Viren Nettasinghe,Nguyen Hai Dang,23200.0,21200.0,2000.0,0
2024-04-09,Badminton Asia Championships 2024,Round of 32,Lee Cheuk Yiu,Koki Watanabe,63499.0,54581.0,8918.0,1
2024-04-09,Badminton Asia Championships 2024,Round of 32,Lee Zii Jia,Priyanshu Rajawat,68296.0,41810.0,26486.0,1
2024-04-09,Badminton Asia Championships 2024,Round of 32,Chou Tien Chen,Weng Hong Yang,62498.0,59950.0,2548.0,1
2024-04-09,Badminton Asia Championships 2024,Round of 32,Lin Chun Yi,Pui Pang Fong,57286.0,6790.0,50496.0,1
2024-04-09,Badminton Asia Championships 2024,Round of 32,Prannoy H. S.,Lu Guang Zu,77647.0,60771.0,16876.0,1
2024-04-09,Badminton Asia Championships 2024,Round of 32,Jeon Hyeok Jin,Dmitriy Panarin,33309.0,24475.0,8834.0,1
2024-04-09,Badminton Asia Championships 2024,Round of 32,Naraoka Kodai,Ng Ka Long Angus,81015.0,49856.0,31159.0,1
2024-04-09,Badminton Asia Championships 2024,Round of 32,Ng Tze Yong,Wang Tzu Wei,58735.0,52710.0,6025.0,0
2024-04-09,Badminton Asia Championships 2024,Round of 32,Li Shifeng,Mahd Shaikh,77998.0,5112.0,72886.0,1
2024-04-09,Badminton Asia Championships 2024,Round of 32,Kanta Tsuneyama,Somi Romdhani,54031.0,15560.0,38471.0,0
2024-04-09,Badminton Asia Championships 2024,Round of 32,Anthony Sinisuka Ginting,Kidambi Srikanth,85101.0,49723.0,35378.0,1
2024-05-14,Thailand Open 2024,Final,Lee Zii Jia,Ng Ka Long Angus,69856.0,48656.0,21200.0,1
2024-05-14,Thailand Open 2024,Semifinal,Kunlavut Vitidsarn,Ng Ka Long Angus,79588.0,48656.0,30932.0,0
2024-05-14,Thailand Open 2024,Semifinal,Lee Zii Jia,Chou Tien Chen,69856.0,62498.0,7358.0,1
2024-05-14,Thailand Open 2024,Quarterfinal,Lee Cheuk Yiu,Ng Ka Long Angus,61699.0,48656.0,13043.0,0
2024-05-14,Thailand Open 2024,Quarterfinal,Kunlavut Vitidsarn,Meiraba Luwang Maisnam,79588.0,21303.0,58285.0,1
2024-05-14,Thailand Open 2024,Quarterfinal,Lee Zii Jia,Lu Guang Zu,69856.0,56691.0,13165.0,1
2024-05-14,Thailand Open 2024,Quarterfinal,Naraoka Kodai,Chou Tien Chen,83597.0,62498.0,21099.0,0
2024-05-14,Thailand Open 2024,Round of 16,Ng Ka Long Angus,Zhao Jun Peng,48656.0,35660.0,12996.0,1
2024-05-14,Thailand Open 2024,Round of 16,Lee Cheuk Yiu,Wang Tzu Wei,61699.0,53883.0,7816.0,1
2024-05-14,Thailand Open 2024,Round of 16,Kunlavut Vitidsarn,Leong Jun Hao,79588.0,39958.0,39630.0,1
2024-05-14,Thailand Open 2024,Round of 16,Mads Christophersen,Meiraba Luwang Maisnam,32423.0,21303.0,11120.0,0
2024-05-14,Thailand Open 2024,Round of 16,Lu Guang Zu,Koki Watanabe,56691.0,54944.0,1747.0,1
2024-05-14,Thailand Open 2024,Round of 16,Lee Zii Jia,Jeon Hyeok Jin,69856.0,35973.0,33883.0,1
2024-05-14,Thailand Open 2024,Round of 16,Chou Tien Chen,Chi Yu Jen,62498.0,37616.0,24882.0,1
2024-05-14,Thailand Open 2024,Round of 16,Naraoka Kodai,Jason Gunawan,83597.0,19226.0,64371.0,1
2024-05-14,Thailand Open 2024,Round of 32,Anders Antonsen,Ng Ka Long Angus,88391.0,48656.0,39735.0,0
2024-05-14,Thailand Open 2024,Round of 32,Zhao Jun Peng,Panitchaphon Teeraratsakul,35660.0,19104.0,16556.0,1
2024-05-14,Thailand Open 2024,Round of 32,Loh Kean Yew,Wang Tzu Wei,64752.0,53883.0,10869.0,0
2024-05-14,Thailand Open 2024,Round of 32,Lee Cheuk Yiu,Misha Zilberman,61699.0,32541.0,29158.0,1
2024-05-14,Thailand Open 2024,Round of 32,Kunlavut Vitidsarn,Rasmus Gemke,79588.0,49219.0,30369.0,1
2024-05-14,Thailand Open 2024,Round of 32,Su Li Yang,Leong Jun Hao,44480.0,39958.0,4522.0,0
2024-05-14,Thailand Open 2024,Round of 32,Prannoy H. S.,Meiraba Luwang Maisnam,75982.0,21303.0,54679.0,0
2024-05-14,Thailand Open 2024,Round of 32,Kiran George,Mads Christophersen,41205.0,32423.0,8782.0,0
2024-05-14,Thailand Open 2024,Round of 32,Koki Watanabe,Chan Yin Chak,54944.0,19539.0,35405.0,1
2024-05-14,Thailand Open 2024,Round of 32,Lu Guang Zu,Kantaphon Wangcharoen,56691.0,35504.0,21187.0,1
2024-05-14,Thailand Open 2024,Round of 32,Magnus Johannessen,Jeon Hyeok Jin,40510.0,35973.0,4537.0,0
2024-05-14,Thailand Open 2024,Round of 32,Lee Zii Jia,Lei Lan Xi,69856.0,41526.0,28330.0,1
2024-05-14,Thailand Open 2024,Round of 32,Chi Yu Jen,Julien Carraggi,37616.0,35947.0,1669.0,1
2024-05-14,Thailand Open 2024,Round of 32,Chou Tien Chen,Takuma Obayashi,62498.0,43479.0,19019.0,1
2024-05-14,Thailand Open 2024,Round of 32,Naraoka Kodai,Koo Takahashi,83597.0,28550.0,55047.0,1
2024-05-21,Malaysia Masters 2024,Final,Viktor Axelsen,Lee Zii Jia,98715.0,69856.0,28859.0,1
2024-05-21,Malaysia Masters 2024,Semifinal,Viktor Axelsen,Lu Guang Zu,98715.0,56691.0,42024.0,1
2024-05-21,Malaysia Masters 2024,Semifinal,Lee Zii Jia,Ng Ka Long Angus,69856.0,48656.0,21200.0,1
2024-05-21,Malaysia Masters 2024,Quarterfinal,Viktor Axelsen,Chou Tien Chen,98715.0,62498.0,36217.0,1
2024-05-21,Malaysia Masters 2024,Quarterfinal,Lu Guang Zu,Jason Gunawan,56691.0,19226.0,37465.0,1
2024-05-21,Malaysia Masters 2024,Quarterfinal,Li Shifeng,Ng Ka Long Angus,83456.0,48656.0,34800.0,0
2024-05-21,Malaysia Masters 2024,Quarterfinal,Anders Antonsen,Lee Zii Jia,88391.0,69856.0,18535.0,0
2024-05-21,Malaysia Masters 2024,Round of 16,Viktor Axelsen,Panitchaphon Teeraratsakul,98715.0,20794.0,77921.0,1
2024-05-21,Malaysia Masters 2024,Round of 16,Chou Tien Chen,Koo Takahashi,62498.0,28550.0,33948.0,1
2024-05-21,Malaysia Masters 2024,Round of 16,Lu Guang Zu,Wang Tzu Wei,56691.0,53883.0,2808.0,1
2024-05-21,Malaysia Masters 2024,Round of 16,Chico Aura Dwi Wardoyo,Jason Gunawan,45175.0,19226.0,25949.0,0
2024-05-21,Malaysia Masters 2024,Round of 16,Lee Cheuk Yiu,Ng Ka Long Angus,61699.0,48656.0,13043.0,0
2024-05-21,Malaysia Masters 2024,Round of 16,Li Shifeng,Leong Jun Hao,83456.0,39958.0,43498.0,1
2024-05-21,Malaysia Masters 2024,Round of 16,Lee Zii Jia,Kiran George,69856.0,41205.0,28651.0,1
2024-05-21,Malaysia Masters 2024,Round of 16,Anders Antonsen,Magnus Johannessen,88391.0,40510.0,47881.0,1
2024-05-21,Malaysia Masters 2024,Round of 32,Viktor Axelsen,Koki Watanabe,98715.0,54944.0,43771.0,1
2024-05-21,Malaysia Masters 2024,Round of 32,Chi Yu Jen,Panitchaphon Teeraratsakul,37616.0,20794.0,16822.0,0
2024-05-21,Malaysia Masters 2024,Round of 32,Chou Tien Chen,Rasmus Gemke,62498.0,49219.0,13279.0,1
2024-05-21,Malaysia Masters 2024,Round of 32,Christo Popov,Koo Takahashi,54685.0,28550.0,26135.0,0
2024-05-21,Malaysia Masters 2024,Round of 32,Loh Kean Yew,Wang Tzu Wei,64752.0,53883.0,10869.0,0
2024-05-21,Malaysia Masters 2024,Round of 32,Lin Chun Yi,Chico Aura Dwi Wardoyo,60261.0,45175.0,15086.0,0
2024-05-21,Malaysia Masters 2024,Round of 32,Julien Carraggi,Jason Gunawan,35947.0,19226.0,16721.0,0
2024-05-21,Malaysia Masters 2024,Round of 32,Ng Ka Long Angus,Kantaphon Wangcharoen,48656.0,35504.0,13152.0,1
2024-05-21,Malaysia Masters 2024,Round of 32,Lee Cheuk Yiu,Ygor Coelho,61699.0,34202.0,27497.0,1
2024-05-21,Malaysia Masters 2024,Round of 32,Lei Lan Xi,Leong Jun Hao,41526.0,39958.0,1568.0,0
2024-05-21,Malaysia Masters 2024,Round of 32,Li Shifeng,Toma Junior Popov,83456.0,55455.0,28001.0,1
2024-05-21,Malaysia Masters 2024,Round of 32,Takuma Obayashi,Kiran George,43479.0,41205.0,2274.0,0
2024-05-21,Malaysia Masters 2024,Round of 32,Lee Zii Jia,Zhao Jun Peng,69856.0,35660.0,34196.0,1
2024-05-21,Malaysia Masters 2024,Round of 32,Brian Yang,Magnus Johannessen,51173.0,40510.0,10663.0,0
2024-05-21,Malaysia Masters 2024,Round of 32,Anders Antonsen,Shesar Hiren Rhustavito,88391.0,21910.0,66481.0,1
2024-05-28,Singapore Open 2024,Final,Shi Yu Qi,Li Shifeng,94915.0,83456.0,11459.0,1
2024-05-28,Singapore Open 2024,Semifinal,Viktor Axelsen,Li Shifeng,98170.0,83456.0,14714.0,0
2024-05-28,Singapore Open 2024,Semifinal,Shi Yu Qi,Chou Tien Chen,94915.0,63467.0,31448.0,1
2024-05-28,Singapore Open 2024,Quarterfinal,Viktor Axelsen,Leong Jun Hao,98170.0,38518.0,59652.0,1
2024-05-28,Singapore Open 2024,Quarterfinal,Li Shifeng,Loh Kean Yew,83456.0,64183.0,19273.0,1
2024-05-28,Singapore Open 2024,Quarterfinal,Kenta Nishimoto,Chou Tien Chen,64982.0,63467.0,1515.0,0
